0,1,2,3,4
1,10,100,1000,10000
2,20,200,2000,20000
3,30,300,3000,30000
4,40,400,4000,40000
5,50,500,5000,50000
6,60,600,6000,60000
7,70,700,7000,70000
8,80,800,8000,80000
9,90,900,9000,90000
10,100,1000,10000,100000
11,110,1100,11000,110000
12,120,1200,12000,120000
13,130,1300,13000,130000
14,140,1400,14000,140000
15,150,1500,15000,150000
16,160,1600,16000,160000
17,170,1700,17000,170000
18,180,1800,18000,180000
19,190,1900,19000,190000
20,200,2000,20000,200000
21,210,2100,21000,210000
22,220,2200,22000,220000
23,230,2300,23000,230000
24,240,2400,24000,240000
25,250,2500,25000,250000
26,260,2600,26000,260000
27,270,2700,27000,270000
28,280,2800,28000,280000
29,290,2900,29000,290000
30,300,3000,30000,300000
31,310,3100,31000,310000
32,320,3200,32000,320000
33,330,3300,33000,330000
34,340,3400,34000,340000
35,350,3500,35000,350000
36,360,3600,36000,360000
37,370,3700,37000,370000
38,380,3800,38000,380000
39,390,3900,39000,390000
40,400,4000,40000,400000
41,410,4100,41000,410000
42,420,4200,42000,420000
43,430,4300,43000,430000
44,440,4400,44000,440000
45,450,4500,45000,450000
46,460,4600,46000,460000
47,470,4700,47000,470000
48,480,4800,48000,480000
49,490,4900,49000,490000
50,500,5000,50000,500000
